policy_holder_id,national_id,first_name,last_name,date_of_birth,gender,email,phone_number,address_line1,address_line2,city,state,country,marital_status,occupation,monthly_income,annual_income,credit_rating,credit_score,years_with_company,has_driving_license,has_defensive_license,is_medical_license_valid,is_active
ZW-PH-0419026831,51-577442A71,Panashe,Chipanga,1994-02-19,M,panashe.chipanga827@outlook.com,+263733193008,43321 Brittany Bypass,,Binga,MATABELELAND_NORTH,Zimbabwe,MARRIED,SELF_EMPLOYED,4477.07,53724.84,GOOD,700,1,True,False,True,True
ZW-PH-6394225258,84-713965V37,Christine,Johnson,1994-03-11,F,christine.johnson218@outlook.com,+263712032298,89083 Robinson Radial,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,EMPLOYED,2118.45,25421.40,GOOD,650,6,True,False,True,True
ZW-PH-6851319995,66-980765I73,Andrew,Mpofu,2005-03-03,M,andrew.mpofu892@gmail.com,+263784498251,26542 Susan Junction Apt. 161,,Mount Darwin,MASHONALAND_CENTRAL,Zimbabwe,SINGLE,STUDENT,47.99,575.88,FAIR,550,4,True,False,True,True
ZW-PH-5507000352,92-452842R76,Chenai,Tshuma,2004-12-26,F,chenai.tshuma603@gmail.com,+263783638420,9407 Teresa Lane Apt. 849,,Rusape,MANICALAND,Zimbabwe,MARRIED,STUDENT,284.08,3408.96,FAIR,550,7,True,False,True,True
ZW-PH-4489103972,75-781151F22,Michelle,Rusere,1982-01-27,F,michelle.rusere171@yahoo.com,+263714850989,310 Kendra Common Apt. 164,,Bulawayo,BULAWAYO,Zimbabwe,SINGLE,SELF_EMPLOYED,1868.34,22420.08,GOOD,650,5,True,False,True,True
ZW-PH-6237049902,82-015621S25,Ropafadzo,Marowa,1947-04-14,F,ropafadzo.marowa135@mail.com,+263714559272,525 Clark Grove Apt. 928,,Mutare,MANICALAND,Zimbabwe,MARRIED,RETIRED,618.54,7422.48,FAIR,590,9,True,False,True,True
ZW-PH-1914751961,56-911152T23,Anesu,Mlilo,1997-09-18,M,anesu.mlilo790@outlook.com,+263785290680,76483 Cameron Trail,,Triangle,MASVINGO,Zimbabwe,MARRIED,SELF_EMPLOYED,3116.64,37399.68,GOOD,700,8,False,False,True,True
ZW-PH-1938826320,59-921714F73,Anesu,Dube,1985-04-13,M,anesu.dube228@mail.com,+263738882718,05641 Robin Port,,Plumtree,MATABELELAND_SOUTH,Zimbabwe,DIVORCED,EMPLOYED,773.92,9287.04,GOOD,650,2,True,False,True,True
ZW-PH-3442149696,88-918104Q95,Tendai,Mhuru,1948-04-28,F,tendai.mhuru520@outlook.com,+263773063387,76724 John Points Suite 969,,Ruwa,MASHONALAND_EAST,Zimbabwe,SINGLE,SELF_EMPLOYED,1016.05,12192.60,GOOD,650,2,False,False,True,True
ZW-PH-3168887286,68-563876H81,Siyabonga,Mutasa,1957-07-18,M,siyabonga.mutasa507@mail.com,+263712480461,3287 Katelyn Wall Apt. 226,,Mutare,MANICALAND,Zimbabwe,MARRIED,RETIRED,398.09,4777.08,FAIR,590,17,True,False,True,True
ZW-PH-2434083790,60-742267Q42,Peter,Magura,1974-07-24,M,peter.magura724@yahoo.com,+263730223512,6978 Maddox Wall,Apt. 184,Hwange,MATABELELAND_NORTH,Zimbabwe,MARRIED,UNEMPLOYED,44.57,534.84,FAIR,590,8,True,False,True,True
ZW-PH-4382948470,77-436778E95,Memory,Nkomo,1959-10-23,F,memory.nkomo217@outlook.com,+263735604812,46270 Stanton Track Apt. 814,Apt. 252,Shurugwi,MIDLANDS,Zimbabwe,DIVORCED,SELF_EMPLOYED,2182.25,26187.00,GOOD,650,1,True,False,True,True
ZW-PH-6368750560,94-236977F91,Andrew,Dube,2006-12-23,M,andrew.dube105@yahoo.com,+263719593915,570 Sarah Wells,,Gokwe,MIDLANDS,Zimbabwe,SINGLE,STUDENT,6.11,73.32,FAIR,580,4,True,True,True,False
ZW-PH-0907476647,79-472880O24,Nobuhle,Ndlovu,1946-11-09,F,nobuhle.ndlovu570@outlook.com,+263733434322,03911 Cabrera Trace Apt. 278,,Hwange,MATABELELAND_NORTH,Zimbabwe,MARRIED,EMPLOYED,1826.81,21921.72,GOOD,650,1,True,False,True,True
ZW-PH-0296710243,70-157124X57,Tafadzwa,Macheka,1977-07-26,M,tafadzwa.macheka998@gmail.com,+263789823371,8963 Jennifer Locks,Suite 787,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,EMPLOYED,1915.65,22987.80,GOOD,650,1,True,False,True,True
ZW-PH-0045227746,88-567392S93,Nothando,Ndlovu,1977-03-29,F,nothando.ndlovu566@yahoo.com,+263716792261,31509 Brianna Avenue,Apt. 031,Hwange,MATABELELAND_NORTH,Zimbabwe,MARRIED,SELF_EMPLOYED,885.88,10630.56,GOOD,650,1,True,False,True,True
ZW-PH-0746915640,57-434254T04,Panashe,Mhuru,1967-02-21,M,panashe.mhuru591@outlook.com,+263786026850,1834 Lewis Curve,,Chiredzi,MASVINGO,Zimbabwe,DIVORCED,SELF_EMPLOYED,496.34,5956.08,GOOD,650,4,True,False,True,True
ZW-PH-1550994184,50-654137U40,Siyabonga,Mhlanga,1963-08-29,M,siyabonga.mhlanga727@yahoo.com,+263785946196,76311 Gomez Loop Suite 010,,Makuti,MASHONALAND_WEST,Zimbabwe,MARRIED,UNEMPLOYED,40.68,488.16,FAIR,590,2,True,False,True,True
ZW-PH-7077836894,82-207856E44,Zanele,Rusere,1992-09-10,F,zanele.rusere877@yahoo.com,+263785543165,513 James Mission Apt. 624,,Kariba,MASHONALAND_WEST,Zimbabwe,MARRIED,EMPLOYED,2320.3,27843.6,GOOD,650,1,True,False,True,True
ZW-PH-1203034246,75-688833W84,Rumbidzai,Gumede,1974-09-15,F,rumbidzai.gumede455@gmail.com,+263716262209,17810 Tanya Terrace Apt. 267,,Plumtree,MATABELELAND_SOUTH,Zimbabwe,SINGLE,EMPLOYED,2203.15,26437.80,GOOD,680,1,False,True,True,True
ZW-PH-0879978972,54-435642J13,Zanele,Muromo,1949-07-18,F,zanele.muromo282@mail.com,+263731332608,60260 Baker Tunnel Suite 468,,Victoria Falls,MATABELELAND_NORTH,Zimbabwe,SINGLE,RETIRED,262.86,3154.32,FAIR,620,12,True,True,True,True
ZW-PH-6638503213,70-711595I82,Peter,Matanga,1955-03-02,M,peter.matanga881@yahoo.com,+263739288407,34309 Julie Centers Apt. 978,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,SELF_EMPLOYED,3284.75,39417.00,GOOD,700,6,True,False,True,True
ZW-PH-4490349806,69-610091H81,Rumbidzai,Mlilo,1965-01-09,F,rumbidzai.mlilo854@gmail.com,+263733965578,81219 Emma Freeway,,Mount Darwin,MASHONALAND_CENTRAL,Zimbabwe,MARRIED,EMPLOYED,2369.29,28431.48,GOOD,650,5,True,False,True,True
